name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h,Year,Quarter,Month,Day,DayName
Bitcoin,BTC,$113472.9,-5.00%,-4.00%,-418.00%,$2258236469055.89,$57579408710.63,2025,Qtr 3,August,3,Sunday
Ethereum,ETH,$3439.89,-10.00%,-81.00%,-901.00%,$415227941528.81,$29515791265.34,2025,Qtr 3,August,3,Sunday
XRP,XRP,$2.84,5.00%,-392.00%,-1163.00%,$168317204711.62,$7372543273.88,2025,Qtr 3,August,3,Sunday
Tether USDt,USDT,$1,0.00%,1.00%,-6.00%,$163876046240.28,$88211423696.12,2025,Qtr 3,August,3,Sunday
BNB,BNB,$744.4,4.00%,-107.00%,-661.00%,$103685827490.38,$2118516572.38,2025,Qtr 3,August,3,Sunday
Solana,SOL,$160.44,-4.00%,-109.00%,-1456.00%,$86364282301.64,$4591203630.7,2025,Qtr 3,August,3,Sunday
USDC,USDC,$1,0.00%,0.00%,-2.00%,$64192740561.57,$9857126595.99,2025,Qtr 3,August,3,Sunday
TRON,TRX,$0.32,14.00%,-51.00%,74.00%,$30690687062.59,$1281994527.91,2025,Qtr 3,August,3,Sunday
Dogecoin,DOGE,$0.2,-23.00%,-42.00%,-1847.00%,$29380249539.22,$2219173966.67,2025,Qtr 3,August,3,Sunday
Cardano,ADA,$0.71,7.00%,71.00%,-1398.00%,$25309519581.2,$993184652.41,2025,Qtr 3,August,3,Sunday
Hyperliquid,HYPE,$37.87,3.00%,56.00%,-1298.00%,$12645047147.35,$302502375.14,2025,Qtr 3,August,3,Sunday
Sui,SUI,$3.4,-10.00%,-137.00%,-1992.00%,$11932015207.1,$1217036747.37,2025,Qtr 3,August,3,Sunday
Stellar,XLM,$0.38,-32.00%,-127.00%,-1620.00%,$11740284542.64,$331681773.42,2025,Qtr 3,August,3,Sunday
Chainlink,LINK,$15.91,-18.00%,49.00%,-1560.00%,$10788337933.47,$452097143.28,2025,Qtr 3,August,3,Sunday
Bitcoin Cash,BCH,$529.99,-19.00%,-130.00%,-890.00%,$10550040272.56,$337573483.83,2025,Qtr 3,August,3,Sunday
Hedera,HBAR,$0.24,33.00%,-43.00%,-2123.00%,$9998221783.04,$431252895.36,2025,Qtr 3,August,3,Sunday
Avalanche,AVAX,$21.12,-23.00%,-79.00%,-1616.00%,$8917569661.75,$352764229.71,2025,Qtr 3,August,3,Sunday
Ethena USDe,USDe,$1,0.00%,3.00%,-5.00%,$8911859874.21,$359317949.12,2025,Qtr 3,August,3,Sunday
Toncoin,TON,$3.61,16.00%,62.00%,714.00%,$8719637943.14,$353971537.14,2025,Qtr 3,August,3,Sunday
UNUS SED LEO,LEO,$8.96,-3.00%,4.00%,-23.00%,$8273822494.78,$1616981.42,2025,Qtr 3,August,3,Sunday
Litecoin,LTC,$107.78,35.00%,116.00%,-660.00%,$8207014147.99,$966807108.99,2025,Qtr 3,August,3,Sunday
Shiba Inu,SHIB,$0,9.00%,5.00%,-1512.00%,$7065713352.24,$172871593.9,2025,Qtr 3,August,3,Sunday
Polkadot,DOT,$3.56,22.00%,98.00%,-1469.00%,$5708937284.95,$253298447.48,2025,Qtr 3,August,3,Sunday
Uniswap,UNI,$8.94,-2.00%,63.00%,-1620.00%,$5621214343.25,$318401719.98,2025,Qtr 3,August,3,Sunday
Monero,XMR,$297.74,27.00%,187.00%,-860.00%,$5492281094.31,$107779058.17,2025,Qtr 3,August,3,Sunday
Dai,DAI,$1,0.00%,0.00%,-1.00%,$5365089739.1,$20820772352.83,2025,Qtr 3,August,3,Sunday
Bitget Token,BGB,$4.29,32.00%,24.00%,-644.00%,$4895565210.61,$75281646.84,2025,Qtr 3,August,3,Sunday
Pepe,PEPE,$0,-12.00%,-44.00%,-1819.00%,$4340524472.82,$598333451.07,2025,Qtr 3,August,3,Sunday
Cronos,CRO,$0.13,-24.00%,-245.00%,-916.00%,$4145744994.94,$30741877.41,2025,Qtr 3,August,3,Sunday
Aave,AAVE,$253.52,-20.00%,114.00%,-1479.00%,$3854128961.38,$333156524.16,2025,Qtr 3,August,3,Sunday
Ethena,ENA,$0.54,-4.00%,-242.00%,-1174.00%,$3449485333.07,$931227451.98,2025,Qtr 3,August,3,Sunday
Bittensor,TAO,$338.94,-28.00%,-4.00%,-2131.00%,$3240789997.36,$109589191.45,2025,Qtr 3,August,3,Sunday
Ethereum Classic,ETC,$19.46,-120.00%,-60.00%,-1556.00%,$2977005016.25,$177283675.03,2025,Qtr 3,August,3,Sunday
NEAR Protocol,NEAR,$2.4,10.00%,55.00%,-1790.00%,$2971729929.92,$166854293.88,2025,Qtr 3,August,3,Sunday
Pi,PI,$0.37,197.00%,720.00%,-1664.00%,$2863935457.31,$106921974.49,2025,Qtr 3,August,3,Sunday
Ondo,ONDO,$0.89,27.00%,70.00%,-1595.00%,$2812019682.31,$153920805.85,2025,Qtr 3,August,3,Sunday
Aptos,APT,$4.16,0.00%,-3.00%,-1400.00%,$2795911523.59,$196910588.2,2025,Qtr 3,August,3,Sunday
OKB,OKB,$46.43,8.00%,-31.00%,-353.00%,$2786014567.8,$11811371.98,2025,Qtr 3,August,3,Sunday
Internet Computer,ICP,$5,9.00%,113.00%,-1269.00%,$2681987001.97,$74032206.55,2025,Qtr 3,August,3,Sunday
Mantle,MNT,$0.7,34.00%,21.00%,-1382.00%,$2341694827.42,$219962106,2025,Qtr 3,August,3,Sunday
