name,symbol,price,percent_change_1h,percent_change_24h,percent_change_7d,market_cap,volume_24h
Bitcoin,BTC,$119040.5,-0.01,-0.77,4.65,$2369534505550.38,$71982376915.65
Ethereum,ETH,$4396.05,-0.07,3.04,21.82,$530642377904.49,$47699413841.07
XRP,XRP,$3.18,0.06,-0.81,5.62,$188640640156.14,$8345537974.64
Tether USDt,USDT,$1,-0.01,0.03,-0.03,$164625362763.22,$132881053246.41
BNB,BNB,$812.3,0.24,1.69,7.81,$113143079373.82,$2670664910.05
Solana,SOL,$177.14,-0.04,-1.32,6.77,$95597112188.64,$5984894534.17
USDC,USDC,$1,0.02,0.01,-0.03,$65608668924.69,$17994099599.44
Dogecoin,DOGE,$0.22,-0.36,-1.86,11.35,$33788505298.59,$2411137875.29
TRON,TRX,$0.35,0.29,1.85,4.52,$32942940345.14,$1147194429.78
Cardano,ADA,$0.79,0.66,0.05,7.93,$28109347252.73,$1285057927.8
Chainlink,LINK,$22.79,2.86,4.24,37.91,$15457079810.21,$1459799824.54
Hyperliquid,HYPE,$43.33,-1.57,-3.45,10.49,$14469423347.58,$338522808.69
Stellar,XLM,$0.44,-0.11,-1.48,8.68,$13674862660.89,$451927996.82
Sui,SUI,$3.76,0.85,0.24,9.24,$13201599972.99,$1352275898.45
Bitcoin Cash,BCH,$589.61,-0.57,-0.65,3.95,$11739315317.7,$610107076.56
Hedera,HBAR,$0.25,0.49,-1.15,3.04,$10671406463.28,$366577030.54
Ethena USDe,USDe,$1,0,0.02,-0.03,$10489569050.88,$429901228.55
Avalanche,AVAX,$23.59,0.53,0.15,6.48,$9959401784.51,$570330569.24
Litecoin,LTC,$121.05,-0.05,-3.98,-1.4,$9221448178.96,$1069544941.12
Toncoin,TON,$3.4,0.17,0.85,2.8,$8730173159.07,$292666798.08
UNUS SED LEO,LEO,$9.06,0.04,0.66,0.78,$8362915785.94,$2189040
Shiba Inu,SHIB,$0,0.12,-1.16,8.12,$7713095675.35,$241752889.02
Uniswap,UNI,$11.14,-0.66,3.08,14.53,$7001379546.06,$1224817953.5
Polkadot,DOT,$3.97,0.02,0.71,9.32,$6385139591.63,$410397180.11
Cronos,CRO,$0.17,-0.49,0.36,22.18,$5433341045.13,$50672791.72
Dai,DAI,$1,0.01,0,0.01,$5365782375.09,$22079519162.16
Ethena,ENA,$0.81,-1.94,0.8,37.28,$5359549989.67,$1389264452.22
Bitget Token,BGB,$4.41,-0.03,0.19,1.77,$5024128305.57,$80741995.29
Pepe,PEPE,$0,-0.57,-1.13,11.3,$4837762791.57,$914662413.74
Monero,XMR,$252.5,0.04,-6.1,-13.74,$4657722178.16,$126428345.6
Aave,AAVE,$304.1,0.57,1.4,17.96,$4626058495.93,$535835438.31
Bittensor,TAO,$371.82,0.78,-0.1,8.32,$3568545634.42,$151146197.86
Ethereum Classic,ETC,$22.72,-0.03,0.61,11.71,$3477613171.51,$223742052.95
Mantle,MNT,$1.02,-0.49,0.16,12.11,$3422598176.29,$433470642.47
NEAR Protocol,NEAR,$2.65,0.18,-1.04,5.72,$3295521552.34,$303262472.79
Ondo,ONDO,$1.01,0.55,0.63,9.7,$3197146598.64,$186660488.34
